scrape_date,n
2023-11-13 04:44:52.099063-05:00,3462
2023-11-13 04:46:10.597515-05:00,3462
2023-11-13 05:49:36.809547-05:00,3462
2023-11-13 06:04:09.120168-05:00,3462
2023-11-13 07:05:21.048832-05:00,3462
2023-11-13 19:13:16.354297-05:00,3462
2023-11-14 07:05:21.882046-05:00,3462
2023-11-14 19:13:32.403957-05:00,3463
2023-11-15 07:05:21.344254-05:00,3463
2023-11-15 19:13:45.643548-05:00,3464
2023-11-16 07:05:13.200011-05:00,3464
2023-11-16 19:13:28.963803-05:00,3464
2023-11-17 07:05:21.140228-05:00,3464
2023-11-17 19:13:23.015656-05:00,3464
2023-11-17 21:27:57.363533-05:00,3464
2023-11-18 07:04:50.003196-05:00,3464
2023-11-18 19:14:46.339355-05:00,3464
2023-11-19 07:04:57.118276-05:00,3464
2023-11-19 19:13:59.576322-05:00,3464
2023-11-20 07:05:33.032606-05:00,3464
2023-11-20 19:14:04.121249-05:00,3463
2023-11-21 07:05:34.187326-05:00,3463
2023-11-21 19:14:34.361228-05:00,3463
2023-11-22 07:05:27.809268-05:00,3463
2023-11-22 19:14:02.631673-05:00,3464
2023-11-23 07:08:11.859712-05:00,3464
2023-11-23 19:13:31.186325-05:00,3464
2023-11-24 07:05:32.989891-05:00,3464
2023-11-24 19:13:12.745480-05:00,3464
2023-11-25 07:05:03.087344-05:00,3464
2023-11-25 19:14:36.990258-05:00,3464
2023-11-26 07:05:01.439366-05:00,3464
2023-11-26 19:14:01.971637-05:00,3464
2023-11-27 07:05:39.528546-05:00,3464
2023-11-27 19:13:50.009906-05:00,3465
2023-11-28 07:05:29.688795-05:00,3465
2023-11-28 19:14:05.563185-05:00,3465
2023-11-29 07:05:34.792634-05:00,3465
2023-11-29 19:14:03.932970-05:00,3465
2023-11-30 07:05:32.996880-05:00,3465
2023-11-30 19:15:29.647806-05:00,3467
2023-12-01 07:05:24.000573-05:00,3462
2023-12-01 19:13:23.301902-05:00,3462
2023-12-02 07:05:34.049826-05:00,3462
2023-12-02 19:17:12.466370-05:00,3462
2023-12-03 07:04:59.753638-05:00,3462
2023-12-03 19:49:52.200954-05:00,3462
2023-12-04 08:03:11.751862-05:00,3462
2023-12-04 20:03:21.035119-05:00,3439
2023-12-05 08:18:16.768415-05:00,3439
2023-12-05 19:14:37.741834-05:00,3439
2023-12-06 07:05:52.348518-05:00,3439
2023-12-06 19:14:06.752456-05:00,3437
2023-12-07 08:20:16.114621-05:00,3437
2023-12-07 19:14:15.160571-05:00,3437
2023-12-08 07:05:39.936102-05:00,3437
2023-12-08 19:14:05.143334-05:00,3441
2023-12-09 07:05:07.637441-05:00,3441
2023-12-09 19:15:19.307554-05:00,3441
2023-12-10 07:05:07.553041-05:00,3441
2023-12-10 19:14:34.830577-05:00,3441
2023-12-11 07:06:08.924303-05:00,3441
2023-12-11 19:14:40.143069-05:00,3440
2023-12-12 07:06:09.201713-05:00,3440
2023-12-12 19:13:59.981339-05:00,3439
2023-12-13 07:06:03.117807-05:00,3439
2023-12-13 19:14:01.725216-05:00,3430
2023-12-14 07:07:56.848492-05:00,3430
2023-12-14 19:14:20.279037-05:00,3432
2023-12-15 07:05:32.996863-05:00,3431
2023-12-15 19:14:20.058992-05:00,3434
2023-12-16 07:05:10.655310-05:00,3434
2023-12-16 19:15:26.899785-05:00,3434
2023-12-17 07:05:47.899885-05:00,3434
2023-12-17 19:14:40.445309-05:00,3434
